belongs_to_collection,has_homepage,in_english,topStudio,usa_produced,lang,topLeadActor,has_tagline,has_keywords,topLeadDirector,topLeadExecProd,topLeadProducer,topLeadComposer,topLeadDirectorPhoto,topLeadEditor,log_budget_processed,log_num_genres,log_genre_rank,log_overview_len,log_num_studios,log_numTopStudios,log_num_production_countries,log_month,log_season,log_year,log_day_of_week,log_week_of_year,log_runtime_processed,log_num_languages,log_title_len,log_num_cast,log_numTopActors,log_num_crew,log_num_male_crew,log_num_female_crew,log_numTopDirectors,log_numTopExecProd,log_numTopProducers,log_numTopComposers,log_numTopDirectorsPhoto,log_numTopEditors
1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,16.454567959008102,0.6931471805599453,2.302585092994046,5.049856007249537,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,7.60887062919126,1.791759469228055,2.1972245773362196,4.543294782270004,0.6931471805599453,3.1354942159291497,3.2188758248682006,0.0,4.290459441148391,2.6390573296152584,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,17.50439003707821,1.6094379124341003,2.302585092994046,5.976350909297934,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.1972245773362196,0.0,7.60339933974067,1.791759469228055,3.4965075614664802,4.736198448394496,0.6931471805599453,3.713572066704308,3.044522437723423,0.6931471805599453,2.302585092994046,1.6094379124341003,1.6094379124341003,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0
0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,15.009433329466965,0.6931471805599453,1.6094379124341003,4.875197323201151,1.3862943611198906,0.0,0.6931471805599453,2.3978952727983707,1.0986122886681098,7.608374474380783,1.791759469228055,3.7376696182833684,4.663439094112067,0.6931471805599453,2.1972245773362196,3.9318256327243257,0.0,4.174387269895637,2.4849066497880004,1.6094379124341003,0.0,0.6931471805599453,0.0,0.0,0.0,0.0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,13.997832948091215,1.0986122886681098,2.5649493574615367,6.366470447731438,0.0,0.0,0.6931471805599453,1.3862943611198906,1.3862943611198906,7.607381425639791,1.791759469228055,2.3978952727983707,4.812184355372417,1.0986122886681098,2.0794415416798357,2.0794415416798357,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.588099342704055,1.0986122886681098,2.772588722239781,5.1298987149230735,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,7.605890001053122,1.6094379124341003,1.9459101490553132,4.77912349311153,0.6931471805599453,2.3978952727983707,1.6094379124341003,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15.894952224644102,1.3862943611198906,2.833213344056216,5.017279836814924,0.0,0.0,0.0,2.1972245773362196,0.0,7.59488438721652,1.6094379124341003,3.4965075614664802,4.430816798843313,0.6931471805599453,3.6635616461296463,1.6094379124341003,0.6931471805599453,2.4849066497880004,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,16.454567959008102,1.0986122886681098,2.3978952727983707,5.342334251964811,1.0986122886681098,0.0,1.0986122886681098,2.1972245773362196,0.0,7.607381425639791,1.6094379124341003,3.58351893845611,4.532599493153256,0.6931471805599453,2.70805020110221,2.70805020110221,0.0,4.356708826689592,2.4849066497880004,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,16.588099342704055,0.6931471805599453,0.6931471805599453,6.218600119691729,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,7.60339933974067,1.6094379124341003,1.3862943611198906,4.442651256490317,1.0986122886681098,2.5649493574615367,1.6094379124341003,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,16.588099342704055,1.791759469228055,2.772588722239781,5.986452005284438,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,7.599401333415815,1.791759469228055,2.0794415416798357,4.61512051684126,0.6931471805599453,3.1354942159291497,2.5649493574615367,0.0,2.1972245773362196,2.0794415416798357,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,15.607270193858982,1.0986122886681098,2.302585092994046,5.638354669333745,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,0.0,7.602900462204755,1.3862943611198906,2.833213344056216,4.5217885770490405,0.6931471805599453,2.6390573296152584,2.995732273553991,0.6931471805599453,2.4849066497880004,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0
